14:09:03.681801 config: drop-rate=0.00, max-delay=0s, seed=1510340943680295600
19:48:24.362313 [queue=0] packet #15, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:25.352309 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:25.354310 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:25.363319 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:26.351590 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:26.354593 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:26.363601 [queue=0] packet #17, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:26.363601 [queue=0] packet #17, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:26.363601 [queue=0] packet #16, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:26.364602 [queue=0] packet #15, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:26.364602 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:26.364602 [queue=0] packet #15, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:26.365603 [queue=0] packet #15, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:26.365603 [queue=0] packet #16, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:26.366605 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:26.366605 [queue=0] packet #16, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:27.354427 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:27.364436 [queue=0] packet #18, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:27.364436 [queue=0] packet #18, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:28.353150 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:28.365175 [queue=0] packet #19, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:28.365175 [queue=0] packet #19, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:29.354555 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:29.365565 [queue=0] packet #20, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:29.365565 [queue=0] packet #20, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:30.352428 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:30.355432 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:30.363439 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:30.367443 [queue=0] packet #21, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:30.370446 [queue=0] packet #21, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:31.352224 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:31.355227 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:31.364236 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:31.368240 [queue=0] packet #22, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:31.368240 [queue=0] packet #22, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:32.355279 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is dropped
19:48:32.369281 [queue=0] packet #23, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:32.369281 [queue=0] packet #23, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:33.354060 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:33.370063 [queue=0] packet #24, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:34.355234 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:34.371232 [queue=0] packet #25, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:34.374235 [queue=0] packet #25, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:34.377237 [queue=0] packet #24, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:34.377237 [queue=0] packet #24, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:34.378238 [queue=0] packet #24, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:35.352669 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:35.355683 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:35.363680 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:35.372688 [queue=0] packet #26, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:35.372688 [queue=0] packet #26, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:36.352384 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:36.355387 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:36.364395 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:36.374415 [queue=0] packet #27, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:37.355872 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:37.374890 [queue=0] packet #28, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:37.374890 [queue=0] packet #28, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:37.375890 [queue=0] packet #27, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:37.376892 [queue=0] packet #27, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:37.376892 [queue=0] packet #27, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:38.355044 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:38.375075 [queue=0] packet #29, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:38.375075 [queue=0] packet #29, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:39.355877 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:39.375907 [queue=0] packet #30, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:39.375907 [queue=0] packet #30, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
